POSITIVE,NEGATIVE
I like,I dislike
I liked,I did not like
I liked,did not like
taste,I do not like
I enjoy,dangerous
like,danger
we like,I don't like
really is very good,I didn't like
excellent,we don't like
it is good,really not good
very good,terrible
happy,it's not good
I'm happy,crazy mind very useless
I'm happy,I am not happy
I loved it so much,I'm not happy
stumped,terrible attendance
great,I felt like crap
Perfect,should give more importance
perfection,I hate this
great service,I can't believe they canceled
I felt important,I'm very upset
I found what I was looking for,I'm very upset
I loved the initiative,🤦
beautiful initiative,🤦‍♂️
good discount,😞
promotion,🙄
adore,😟
I loved,😠
that was top,😕
show too much,🙁
I recommend,☹
what live top,🥺
mds what perfection,😣
HINOOOOOO,I don't recommend
a hymn,I do not recommend
muse,😖
what an excellent performance,😫
😀,😩
😁,😨
😃,😰
😄,😦
😆,😧
😊,😢
😋,😥
😎,😪
😍,😭
🤗,that was not good
🤩,not good
😏,depressing
😻,horrible
☺,boring
☻,boredom
:-),boring
ツ,tedious
cutie,i don't know what worse
pretty,this is worse
beautiful,worse and worse
beautiful,flopped
gorgeous,flopadissimo
beautiful,"If it's bad for you, imagine"
beautiful,bullshit
beautiful,nonsense
very beautiful,clowning
wonderful,envious
spectacular,envious
wow that was a marvel,be patient
getting better,I'm out of patience
out and about,he had the flirtation
success,I can not stand anymore
rocked,intolerable
I shivered,I still have to tolerate it
tender,falsehood
partner,falsehood
loving,falsification
passionate,forger
passionately,fake
passionate,false
to hug,hypocrisy
hug,hypocritical
worship,hypocritically
adored,hostile
beloved,hostility
adorable,harass
affective,hostilely
affection,impostor
affectionately,imposture
affection,imposture
affectionate,imposture
affection,infidelity
thankful,unfaithful
grateful,ungratefully
love,ingratitude
friend,ungrateful
friendly,enemy
friendly,enmity
friendly,insidious
friendship,insidiously
love,rogue
lovingly,jockey
in love,trickery
fall in love,hurt
fraternal,hurt
like,to hurt
gratitude,thankless
thankful,unloved
maternal,Unloved
maternally,grumpy
preference,to lie
romantic,lie
romanticism,liar
appetizing,pettiness
delight,pettiness
delicious,petty
enviable,to hate
fashion,hateful
Fantastic,hatred
glory,hatefully
glorification,hateful
glorify,prejudice
gloriously,racism
glorious,racist
hero,rancor
heroically,spitefully
heroic,spiteful
heroin,betrayal
heroism,treacherously
idol,treacherous
illustrious,traitor
flattery,to betray
flattering,swindle
flatter,vicar
flatteringly,swindler
flattering,crook
praise,avenger
Lux,revenge
luxuriously,avenge
luxurious,vengeful
magnificent,xenophobia
amazed,xenophobic
amazed,homophobia
marvel,disgust
Wonderful,disgusting
wonderfully,disgusting
amazing,filthy
miracle,disgusting
miraculously,discontent
miraculous,discontent
motivation,unhappy
motivate,disgust
noble,disgust
nobly,disgusted
nobility,displeasure
predilection,ignoble
favorite,unknowability
prestigious,impurity
honor,impure
prestige,filth
prestigious,unclean
attractive,garbage
attractive,disease
to attract,disgusting
charm,disgust
decency,obscenity
dazzled,obscene
dazzled,filth
fascination,refuse
gorgeous,junk
dazzle,repel
enchanted,disgust
charmed,disgusting
enchant,dislike
charm,disgust
excitement,repulsive
excited,dirty
exciting,dirt
excite,dirt
excitable,dirty
fascination,villain
fascinating,disengagement
fascinate,uncommitted
fascination,uncommitted
phenomenal,dissatisfaction
interested,dissatisfied
interesting,dissatisfied
to interest,lack of commitment
interest,abomination
irresistible,warn
irresistibly,away
seductive,removal
seduce,to put away
sexy,arrogance
sensuality,arrogant
sensually,authority
tempting,authoritarian
temptation,cancerous
cozy,punish
welcoming,punishment
to welcome,censorship
welcome,censored
host,censor
affability,mockery
affable,cynical
affably,cynicism
altruism,criticism
altruistic,criticize
kind,depreciation
kindly,depreciate
attentive,debauchery
beauty,misunderstand
beneficial,disregard
sweetheart,to disregard
benevolence,bleached
benevolent,disdain
benevolent,disdain
kindness,contemptible
kindness,contemptuous
charitable,despise
friendly,negligible
cordiality,despicably
Sincerely,contempt
courtesy,disrespect
delicacy,disrespect
delicate,devaluation
formidable,devalue
formidably,defame
gallant,selfishness
philanderer,selfish
woo,selfishness
courtship,egotism
generosity,elitist
generous,scam
kind,deceitful
kindness,to deceive
kindly,mistake
flawless,deceitful
impeccably,disgust
magnanimous,disgust
perfectly,disgusted
mushy,disgusted
fussiness,mock
to cuddle,mockery
cozy,slag
coziness,grimace
angelic,forgotten
angelic,forgetfulness
cute,expulsion
sweet,kick out
sweetness,expelled
pamper,scams
treat,ignored
treats,ignorance
tenderness,ignorant
it was very easy,worthless
it was delicious,unacceptable
contentment,inadmissible
happy,worthless
success,inadmissible
happiness,inconsideration
congratulation,indifference
congratulate,useless
happy,uselessness
happily,judgment
I was lucky,Jewry
dream,pitiful
my dream,pitifully
i wantoooooo,pitiful
I want the,deceive
i want a lot,deceit
I really want,despise
I want much,contempt
Dream does not cost a thing,miserable
smiling,miserably
joyful,pejoratively
happily,pejorative
happiness,punishment
good mood,to punish
fun,punitive
funny,punishable
fun,recrimination
fun,reproach
enter into,recriminatory
training,rejection
brilliant,reject
brilliantly,rejected
optimism,rejected
optimistic,rejected
humorous,rejected
party,deny
festival,scold
optimistic,rebuke
optimism,reproachfully
invigorating,reprehensible
cheered up,reprehensibly
lively,disapproval
healthy,repudiate
authentic,repudiation
beneficent,repulsion
benefactor,ridicule
benefactor,ridiculed
benefactress,ridiculed
comfortable,ridiculed
this is comfortable,ridiculed
yummy,cheating
spacious,cheat
virtuously,cheater
virtuosity,boo
virtuosity,they go
virtuous,to mock
worked well,bad luck
it works,cheated
purity,troublesome
pure,harassed
honest,stalker
comforter,harass
healed,harassment
unburdened,rude
unburden,rudeness
relief,grotesquely
open up,grotesque
nostalgic,impertinence
nostalgia,naughty
avoided a problem,implication
blessed,to imply
to bless,annoy
appreciation,annoying
greeting,improper
greetings,inconvenience
honor,unfair
honorable,inconvenient
honestly,insistent
honesty,irritability
honored,irritation
honorably,irritably
honorable,irritating
justice done,annoyingly
I feel protected,irritate
I feel happy,irritable
justice fulfilled,rude
justice delays but does not fail,ordinarily
I'm done,ordinary
I'm done,abruptly
is nice,atrocity
it's nice,savagely
lovely,barbarity
beautiful,barbarian
beautiful,cruel
beautiful,cruelty
delighted,made me a beast
delicious,doing the beast client
flattered,playing the beast
flattered,beast paper
enriching,rudeness
enriching,denatured
slenderness,undoing
slim,inhuman
stupendously,underhanded
stupendous,pretended
handsome,pretend
beauty,pretend
gladly,pretended
amazing,immoral
beautifully,immorality
beauty,imperfection
praise,imperfect
praised,injure
commendable,bad
commendably,bad
praise,evil
popular,insufficient
popularity,evil
popularize,wickedly
popularly,evil
positively,maleficence
regaled,harm
regale,malefic
treat,Slyly
satisfaction,malicious
satisfactorily,evilly
satisfactory,malignant
to satisfy,meanness
satisfied,wickedness
satisfied,evil
and enough,monster
fast service,monstrously
relaxation,monstrosity
relaxed,monstrous
relax,nazi
accessible,Nazism
relaxing,fascist
to relax,nefarious
chilled out,harmfully
relaxation,harmfulness
is the best,harmful
wonderful,very badly
wonderful,harm
I agree,harmful
It is not bad,bad
I will hardly like it,badness
never disappoint,ruinously
very ill,ruinous
master,satan
❤,Satanic
top,severity
this is getting better,severe
has been getting better,terrorism
never been better,terrorist
never been so good,crookedly
that's what i was needing,tortuosity
friend,tortuous
brother,is the worst
partner,worm
what's best,shrapnel
luck,pocket minion
great result,bozo
is getting better and better,alcoholism
the wait is over,damn it
the day has finally come,drugs
the expected day has arrived,traffic
I waited so long for this,Unfortunately
thank you for that,sad
thanks,torture
thank you,torturous
worth it,torture
it cost,viper
vlw,violator
thank you for that,rape
refreshed,usurpation
refreshed,usurper
I don't miss an episode,to abuse
I don't miss it for nothing,abusive
anxious,assault
anxious,aggression
best day of my life,aggressively
it's not bad,aggressiveness
I will never get sick,aggressive
I will never abuse,aggressor
I will never get tired,curse
I never get tired,threat
I trust,threatened
I trust a lot,threatening
Queen,to threaten
diva,brutal
icon,brutality
the product is of high quality,brutalize
high quality,brutes
works well,gross
it works perfectly,conflict
flawless,conflicted
No defects,energy
Perfect,anger
perfect,infuriation
verges on perfection,anger
in love,enrage
passionate,angry
enchanted,furious
in love,Angry
flirting,to tease
warm,taunting
brand new,angry
brand new,brawl
talent,violation
cheap,violate
cockroach,violence
Precious,violent
I took advantage,violently
I will enjoy,violent
do not lock,indignation
flows well,indignant
don't fall,indignant
arrived fast,indignant
fast delivery,rebel
arrived quickly,rebellion
addicted,rebellion
I'm addicted,revolt
arrived quickly,angry
very productive,revolting
great experience,angry
guaranteed quality,stormy
satisfaction,vandalism
best deals,vandal
I was hired,angry
I was hired,egocentric
I love what I do,
i want the good,bully
I want our good,brag
realized dream,braggadocio
everything worked,possession
God,possessed
thank you sir,arrogance
thanks god,boastful
we agree,superb
I agree,superbly
I agree,persist
how not to love,stubbornly
unrolled,stubbornness
talented,stubborn
talented,adverse
very talented,calamity
💘,catastrophe
great decision,catastrophic
love,defeat
💌,disaster
🤟,disastrous
💓,unfavorable
🧡,disfavor
👏,disgrace
🥰,unfortunately
💖,Bastard
❤,disgrace
🧡,misadventure
💛,fatality
💚,fateful
💗,fail
💙,failure
💓,unhappiness
💕,unhappy
💞,Unfortunately
💟,unfortunately
💜,unfortunate
❣,misfortune
💝,failure
💌,curse
🤎,damn you
🖤,tragedy
🤍,tragically
💃,tragic
🕺,whimper
🕴,joke with the consumer
💇‍♂️,genocidal
💇‍♀️,genocism
👼,xenophobic
💏,xenophobic
💑,xenophobia
🌷,abandoned
⚘,abandoned
🌹,to abandon
🥀,abandonment
🍻,depressed
🥂,depressed
🥃,depress
🍾,overwhelm
🍹,oppressor
🍸,oppressor
happy,depression
🏖,helpless
🏩,forsake
🌈,helplessness
👍,discouraged
🤝,sad
🙌,Unfortunately
🤞,discourage
it really is very good,desperate
it's good,hopelessness
adore,hopeless
charm,bored
it was very easy,to bore
dream doesn't cost anything,boring
this is comfortable,grieve
it works,saddened
justice takes time but it doesn't fail,saddened
wonderful,lethal
I don't know what to do unfortunately,melancholy
happily,melancholy
it's not bad,melancholy
I'll hardly like it,monotonously
that's what i was needing,monotony
brother,monotonous
partner,I wanna die
thank you for that,feather
I don't miss an episode,dingy
I don't lose for nothing,sadness
anxious,sad
until it's not bad,feeling empty
Queen,huge void
icon,apathy
the product is of high quality,apathetic
it works perfectly,apathetic
perfect,stunned
verges on perfection,stunning
cockroach,stunning
Precious,stun
I took advantage,carelessly
I will enjoy,careless
no lock,neglect
it doesn't fall,carelessness
arrived fast,carelessly
fast delivery,carelessly
very productive,disinterested
great experience,disinterest
I was hired,disinterest
I love what I do,sloppy
how not to love,sloppiness
very talented,neglect
great decision,sloppiness
It worked,sluggish
fast,doldrums
fast,negligence
stable,neglect
:),negligent
accessible,carelessly
we make deliveries,paralyzed
we accept dogs,slumber
unmissable,passively
we are available,spoiled
available,passivity
we split,hypocrisy
gratitude,hypocrisy
🔥,passive
worth it,laziness
really is very good,to take time
This is far from bad,lazily
I don't know how you guys don't like it,lazy
I really liked that,sleep
that is great,sleepy
it is of great quality,disgusting
the product looks very complete,lack
it Works very well,lack authenticity
Quality product,uncomfortable
very well built,discomfort
very good price,fast download
it's a good cost-benefit,does not work
I found this excellent,doesn't work well
there's nothing to complain about,problem
it was very worth it,disorder
better than that only two of this,mess
exceeded my expectations,very long line
the order arrived fast,long service
I am very satisfied,misunderstanding
everything came right,doubtful
I bought it and I don't regret it,scandalize
I saved a lot,scandal
it was delicious,scandalous
very tasty,crisis
it's really good,shaken
I recommend to everyone,shaken up
fast and cheap shipping,shake
the connection is very fast,shaking
the internet is very stable,bizarre
this plan is very good,block
"that was very nice, would eat again",confused
the company was very attentive,confusion
it's a very authentic product,decomposed
this is too cool,baffled
the company was very understanding,baffled
"is a very reliable company, would do it again",disconcerting
"it's a very creative product, congratulations",baffle
that was splendid,bewilderment
what an excellent product,uncomfortable
it was an extraordinary experience,uncomfortable
I'm happy with this product,uncomfortably
I'm happy with my internet,distraction
it's a very innovative idea,fuss
this is really cool,fussy
I had a wonderful experience,exaltedly
the box came very organized,weightless
the company was very patient with my questions.,indecision
the food arrived and it was still very hot,undecided
the car is perfect,indiscipline
this car is in excellent condition,undisciplined
I have nothing to complain about,insubordination
the vehicle is at a very good price,insubordinate
it was a good investment,insubordinate
it was really worth subscribing to this service,intrigue
this service is very useful,intrigue
🔥 🔥,intriguing
happiness,malaise
joyful,lost
happiness,hopelessly
radiant,lost
yummy,perplexity
delicious,perplexed
delicious,disturbance
hot,disturbed
delicious,disturbing
very hot,disturbing
hot,disturb
hot,dizziness
schedules,storm
we answer,upset
📲,upset
diversity,disorder
Opening,turmoil
debut,condemned
debuting,condemned
promotion,damnable
unmissable,unfair
enjoy,disloyalty
enjoy,dishonor
Enjoy,dishonest
